Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
10,1680452339649,02/04/2023 16:18:59,1680452339978,-4,02/04/2023 12:18:59,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,Feedback,no
11,1680452339649,02/04/2023 16:18:59,1680452339978,-4,02/04/2023 12:18:59,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,108355
1,1680452244476,02/04/2023 16:17:24,1680452243135,-4,02/04/2023 12:17:23,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680452334978,02/04/2023 16:18:54,1680452333685,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ImmsersionSlider,2
3,1680452335148,02/04/2023 16:18:55,1680452333686,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,no
4,1680452335148,02/04/2023 16:18:55,1680452333686,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,an underground cave system
5,1680452335148,02/04/2023 16:18:55,1680452333686,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,Becky
6,1680452335148,02/04/2023 16:18:55,1680452333686,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,I don't have any particular feelings towards either player
7,1680452335148,02/04/2023 16:18:55,1680452333687,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,yes
8,1680452335148,02/04/2023 16:18:55,1680452333687,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680452335148,02/04/2023 16:18:55,1680452333687,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680452335148,02/04/2023 16:18:55,1680452333687,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,Feedback,no
11,1680452335148,02/04/2023 16:18:55,1680452333687,-4,02/04/2023 12:18:53,128679,4,questionnaire-pv78,,28612702,BLIND,8514907,,complete,,010aad17-bb56-4c31-a139-bbdcadb396b5,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,90552
1,1680452249973,02/04/2023 16:17:29,1680452247482,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680452336530,02/04/2023 16:18:56,1680452334105,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,ImmsersionSlider,2
3,1680452336714,02/04/2023 16:18:56,1680452334106,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,Make some of the actions to be more evil.
4,1680452336714,02/04/2023 16:18:56,1680452334106,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,Cave like armosphere
5,1680452336714,02/04/2023 16:18:56,1680452334106,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,"Emma I think her name was, but it doesn't matter which one really"
6,1680452336714,02/04/2023 16:18:56,1680452334106,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,They both had the same mind set it seemed
7,1680452336714,02/04/2023 16:18:56,1680452334107,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,Yes it seems so
8,1680452336714,02/04/2023 16:18:56,1680452334107,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680452336714,02/04/2023 16:18:56,1680452334107,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680452336714,02/04/2023 16:18:56,1680452334108,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,Feedback,"Thanks, I tried my best. My memory isn't the best for anything either though anymore as far as reading but I am almost 60"
11,1680452336714,02/04/2023 16:18:56,1680452334108,-4,02/04/2023 12:18:54,128679,4,questionnaire-pv78,,28612704,BLIND,8514902,,complete,,b3c5a154-d20d-4424-a331-e1969fe8c544,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1731x959,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,86626
1,1680452253897,02/04/2023 16:17:33,1680452253003,-7,02/04/2023 09:17:33,128679,4,questionnaire-pv78,,28612705,BLIND,8514908,,complete,,15ad47a5-0f73-4636-aa63-643aab53b2b9,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1863x834,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680452512197,02/04/2023 16:21:52,1680452511347,-7,02/04/2023 09:21:51,128679,4,questionnaire-pv78,,28612705,BLIND,8514908,,complete,,15ad47a5-0f73-4636-aa63-643aab53b2b9,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1863x834,,Exit Questions / Debriefing,5,No,ImmsersionSlider,1
3,1680452512480,02/04/2023 16:21:52,1680452511349,-7,02/04/2023 09:21:51,128679,4,questionnaire-pv78,,28612705,BLIND,8514908,,complete,,15ad47a5-0f73-4636-aa63-643aab53b2b9,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1863x834,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,Have some scenarios where you are forced to make a negative choice and then have to be creative about solving the problem related to that choice.
4,1680452512480,02/04/2023 16:21:52,1680452511349,-7,02/04/2023 09:21:51,128679,4,questionnaire-pv78,,28612705,BLIND,8514908,,complete,,15ad47a5-0f73-4636-aa63-643aab53b2b9,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1863x834,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,Archealology Trip
5,1680452512480,02/04/2023 16:21:52,1680452511349,-7,02/04/2023 09:21:51,128679,4,questionnaire-pv78,,28612705,BLIND,8514908,,complete,,15ad47a5-0f73-4636-aa63-643aab53b2b9,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1863x834,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,Becky
6,1680452512480,02/04/2023 16:21:52,1680452511349,-7,02/04/2023 09:21:51,128679,4,questionnaire-pv78,,28612705,BLIND,8514908,,complete,,15ad47a5-0f73-4636-aa63-643aab53b2b9,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1863x834,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,I felt generally positive about each player.
7,1680452512480,02/04/2023 16:21:52,1680452511350,-7,02/04/2023 09:21:51,128679,4,questionnaire-pv78,,28612705,BLIND,8514908,,complete,,15ad47a5-0f73-4636-aa63-643aab53b2b9,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1863x834,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,"Yes, I felt both made reasonable decisions"
8,1680452512480,02/04/2023 16:21:52,1680452511350,-7,02/04/2023 09:21:51,128679,4,questionnaire-pv78,,28612705,BLIND,8514908,,complete,,15ad47a5-0f73-4636-aa63-643aab53b2b9,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1863x834,,Exit Questions / Debriefing,5,No,Debriefing,Yes
