Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,comf_religion,comf_science,comf_healthcare,comf_community,comf_firefighter,comf_police,comf_gun,comf_immigration,comf_media,comf_voting,OpenEnded,END QUESTIONNAIRE
1,1729272498514,18/10/2024 17:28:18,1729272498363,-4,18/10/2024 13:28:18,187086,12,questionnaire-xwu3,,40753432,n1si3c5q,11890063,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,,Purpose/Comfort Exit Questions,3,No,6,7,5,4,4,4,4,4,5,6,Opinions of different political groups.,66944
1,1729272499642,18/10/2024 17:28:19,1729272499507,-5,18/10/2024 12:28:19,187086,12,questionnaire-xwu3,,40753433,d9t5x33k,11890240,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1366x768,1707x850,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,Perceptions of controversial subjects,44653
1,1729272539860,18/10/2024 17:28:59,1729272539559,-7,18/10/2024 10:28:59,187086,12,questionnaire-xwu3,,40753492,uiac4iqa,11890173,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1440x900,1440x680,,,,Purpose/Comfort Exit Questions,3,No,7,7,6,5,7,5,7,6,6,6,"Political beliefs, and where many stand on the sprectem of liberal versus conservative",61179
1,1729272559694,18/10/2024 17:29:19,1729272559523,-4,18/10/2024 13:29:19,187086,12,questionnaire-xwu3,,40753526,l8dxi468,11890406,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1440x900,994x698,,,,Purpose/Comfort Exit Questions,3,No,3,7,6,3,5,6,5,2,1,2,"Understanding social attitudes between societal issues, attributes, and political leanings",39842
1,1729272595919,18/10/2024 17:29:55,1729272596301,-4,18/10/2024 13:29:56,187086,12,questionnaire-xwu3,,40753583,ymo3yl12,11890185,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,2400x1350,2400x1159,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,Not really sure here,39418
1,1729272614096,18/10/2024 17:30:14,1729272613924,-7,18/10/2024 10:30:13,187086,12,questionnaire-xwu3,,40753608,2rqxoyle,11890084,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 114.0.0.0,1536x864,1534x738,,,,Purpose/Comfort Exit Questions,3,No,5,5,5,4,5,5,5,5,5,4,"Honestly, I don't know I'm assuming something regarding politics but things seemed a little random and wide ranging so nothing specific comes to mind. ",66668
1,1729272622079,18/10/2024 17:30:22,1729272621670,-7,18/10/2024 10:30:21,187086,12,questionnaire-xwu3,,40753620,vg1s6h15,11890226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2016x1134,1501x838,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,"To ascertain opinions and attitudes towards political and public spheres contrasted with the respondent's authoritasrian tendencies as implied by their opinions on religion, police, and immigration.",93008
1,1729272631822,18/10/2024 17:30:31,1729272630940,-4,18/10/2024 13:30:30,187086,12,questionnaire-xwu3,,40753636,9bgcc5dm,11890273,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x919,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,6,5,2,7,Determine differences in political mindsets and how they impact thinking,79992
1,1729272649529,18/10/2024 17:30:49,1729272648383,-5,18/10/2024 12:30:48,187086,12,questionnaire-xwu3,,40753668,iu4zvgsu,11890292,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1280x593,,,,Purpose/Comfort Exit Questions,3,No,1,6,4,6,7,1,4,4,1,1,To see how participants view different concepts and their reasoning for it.,49948
1,1729272654115,18/10/2024 17:30:54,1729272652097,-4,18/10/2024 13:30:52,187086,12,questionnaire-xwu3,,40753676,ho6gujnh,11890118,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1517x712,,,,Purpose/Comfort Exit Questions,3,No,3,6,5,6,7,3,3,3,2,6,To see how people feel about a range of topics.,51562
