,0,1,2,3,4,5
102,0.99801,0.06548,0.45467,0.4493,0.01518,0.02393
103,0.95691,0.49223,0.01734,0.40256,0.04044,0.48628
104,1.00001,0.05139,0.17327,0.09953,0.0832,1e-05
105,0.93505,4e-05,0.01488,0.25997,0.34153,0.12019
106,0.55632,0.00011,0.19937,0.01096,6e-05,0.066
107,0.12347,1e-05,0.46925,0.02555,0.00284,0.02306
108,0.97423,0.24567,0.41771,0.31891,0.00689,0.48233
109,0.58959,2e-05,0.47036,0.20236,2e-05,0.01066
110,0.025,1e-05,0.33351,0.01166,0.01679,0.0027
111,0.11409,1e-05,0.31133,0.11734,0.00192,0.00119
112,0.96196,0.27466,0.19418,0.05495,0.20965,0.31336
113,0.32374,1e-05,0.10687,0.0989,4e-05,0.0009
114,0.26515,0.03528,0.05327,0.2583,0.00974,0.1547
115,0.00492,1e-05,0.35075,0.00063,0.00975,0.00279
116,0.33688,0.39656,0.27033,0.30836,0.21096,0.1724
117,0.62807,1e-05,0.36992,0.06429,5e-05,0.13167
118,0.73506,0.01968,0.04835,0.10141,0.01393,0.00557
119,0.42579,1e-05,0.36195,0.2038,0.0007,0.03233
