Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
2,1673632339821,13/01/2023 17:52:19,1673632337186,-6,13/01/2023 11:52:17,109726,5,questionnaire-1swd,,26371022,BLIND,7784372,,complete,tdqdqk,3S06PH7KSR47MTVUAUX25GBDQHLD1E,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Consent_Form,2,No,Consent1,1
3,1673632340245,13/01/2023 17:52:20,1673632337187,-6,13/01/2023 11:52:17,109726,5,questionnaire-1swd,,26371022,BLIND,7784372,,complete,tdqdqk,3S06PH7KSR47MTVUAUX25GBDQHLD1E,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Consent_Form,2,No,Consent2,1
4,1673632340245,13/01/2023 17:52:20,1673632337188,-6,13/01/2023 11:52:17,109726,5,questionnaire-1swd,,26371022,BLIND,7784372,,complete,tdqdqk,3S06PH7KSR47MTVUAUX25GBDQHLD1E,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Consent_Form,2,No,Consent3,1
5,1673632340245,13/01/2023 17:52:20,1673632337188,-6,13/01/2023 11:52:17,109726,5,questionnaire-1swd,,26371022,BLIND,7784372,,complete,tdqdqk,3S06PH7KSR47MTVUAUX25GBDQHLD1E,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Consent_Form,2,No,END QUESTIONNAIRE,69066
1,1673632285532,13/01/2023 17:51:25,1673632285178,-5,13/01/2023 12:51:25,109726,5,questionnaire-1swd,,26371032,BLIND,7784377,,complete,yutsau,3VAR3R6G1P1G1Q64ZOKXVKAK80XO83,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1377x793,,Consent_Form,2,No,BEGIN QUESTIONNAIRE,
2,1673632289154,13/01/2023 17:51:29,1673632288828,-5,13/01/2023 12:51:28,109726,5,questionnaire-1swd,,26371032,BLIND,7784377,,complete,yutsau,3VAR3R6G1P1G1Q64ZOKXVKAK80XO83,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1362x793,,Consent_Form,2,No,Consent1,1
3,1673632289332,13/01/2023 17:51:29,1673632288829,-5,13/01/2023 12:51:28,109726,5,questionnaire-1swd,,26371032,BLIND,7784377,,complete,yutsau,3VAR3R6G1P1G1Q64ZOKXVKAK80XO83,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1362x793,,Consent_Form,2,No,Consent2,1
4,1673632289332,13/01/2023 17:51:29,1673632288829,-5,13/01/2023 12:51:28,109726,5,questionnaire-1swd,,26371032,BLIND,7784377,,complete,yutsau,3VAR3R6G1P1G1Q64ZOKXVKAK80XO83,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1362x793,,Consent_Form,2,No,Consent3,1
5,1673632289332,13/01/2023 17:51:29,1673632288830,-5,13/01/2023 12:51:28,109726,5,questionnaire-1swd,,26371032,BLIND,7784377,,complete,yutsau,3VAR3R6G1P1G1Q64ZOKXVKAK80XO83,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1362x793,,Consent_Form,2,No,END QUESTIONNAIRE,3652
1,1673632392079,13/01/2023 17:53:12,1673632392435,-5,13/01/2023 12:53:12,109726,5,questionnaire-1swd,,26371062,BLIND,7784385,,complete,hcntyp,3D3VGR7TA0FXX6SEFZ65YY7E31PR3N,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,,Consent_Form,2,No,BEGIN QUESTIONNAIRE,
2,1673632429640,13/01/2023 17:53:49,1673632429785,-5,13/01/2023 12:53:49,109726,5,questionnaire-1swd,,26371062,BLIND,7784385,,complete,hcntyp,3D3VGR7TA0FXX6SEFZ65YY7E31PR3N,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,,Consent_Form,2,No,Consent1,1
3,1673632429789,13/01/2023 17:53:49,1673632429787,-5,13/01/2023 12:53:49,109726,5,questionnaire-1swd,,26371062,BLIND,7784385,,complete,hcntyp,3D3VGR7TA0FXX6SEFZ65YY7E31PR3N,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,,Consent_Form,2,No,Consent2,1
