Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
27,1682374484740,24/04/2023 22:14:44,1682374484168,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,ConnectID,8175B21300A54FF3978ECD6D50130295
28,1682374484740,24/04/2023 22:14:44,1682374484168,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,END QUESTIONNAIRE,85721
1,1682374400836,24/04/2023 22:13:20,1682374399908,-7,24/04/2023 15:13:19,131186,3,questionnaire-8poc,,29070378,BLIND,8657263,,complete,,3d04fdb9-2a81-4732-8217-eae57890efe2,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x577,,Demographic_Intake,2,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682374472237,24/04/2023 22:14:32,1682374471433,-7,24/04/2023 15:14:31,131186,3,questionnaire-8poc,,29070378,BLIND,8657263,,complete,,3d04fdb9-2a81-4732-8217-eae57890efe2,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1263x577,,Demographic_Intake,2,Condition_InOut-race,No,age,42
3,1682374472420,24/04/2023 22:14:32,1682374471435,-7,24/04/2023 15:14:31,131186,3,questionnaire-8poc,,29070378,BLIND,8657263,,complete,,3d04fdb9-2a81-4732-8217-eae57890efe2,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1263x577,,Demographic_Intake,2,Condition_InOut-race,No,gender,male
4,1682374472420,24/04/2023 22:14:32,1682374471435,-7,24/04/2023 15:14:31,131186,3,questionnaire-8poc,,29070378,BLIND,8657263,,complete,,3d04fdb9-2a81-4732-8217-eae57890efe2,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1263x577,,Demographic_Intake,2,Condition_InOut-race,No,raceEth_v2,White
5,1682374472420,24/04/2023 22:14:32,1682374471435,-7,24/04/2023 15:14:31,131186,3,questionnaire-8poc,,29070378,BLIND,8657263,,complete,,3d04fdb9-2a81-4732-8217-eae57890efe2,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1263x577,,Demographic_Intake,2,Condition_InOut-race,No,raceEth_v2-quantised,6
6,1682374472420,24/04/2023 22:14:32,1682374471436,-7,24/04/2023 15:14:31,131186,3,questionnaire-8poc,,29070378,BLIND,8657263,,complete,,3d04fdb9-2a81-4732-8217-eae57890efe2,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1263x577,,Demographic_Intake,2,Condition_InOut-race,No,raceEth_v2-text,
7,1682374472420,24/04/2023 22:14:32,1682374471436,-7,24/04/2023 15:14:31,131186,3,questionnaire-8poc,,29070378,BLIND,8657263,,complete,,3d04fdb9-2a81-4732-8217-eae57890efe2,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1263x577,,Demographic_Intake,2,Condition_InOut-race,No,EngFluent,Yes
8,1682374472420,24/04/2023 22:14:32,1682374471436,-7,24/04/2023 15:14:31,131186,3,questionnaire-8poc,,29070378,BLIND,8657263,,complete,,3d04fdb9-2a81-4732-8217-eae57890efe2,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1263x577,,Demographic_Intake,2,Condition_InOut-race,No,EngFluent-quantised,1
