,Participant Private ID,Spreadsheet: Type,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Response
249,9362346.0,DIR,Emma,In,1.0,Reward
250,9362346.0,STR,Yuxi,Out,2.0,Reward
251,9362346.0,INT,Yuxi,Out,2.0,Reward
252,9362346.0,STR,Emma,In,1.0,Punish
253,9362346.0,DIR,Yuxi,Out,2.0,Punish
254,9362346.0,INT,Emma,In,1.0,Reward
255,9362346.0,STR,Yuxi,Out,2.0,Reward
256,9362346.0,INT,Emma,In,1.0,Reward
257,9362346.0,DIR,Emma,In,1.0,Reward
258,9362346.0,STR,Yuxi,Out,2.0,Punish
259,9362346.0,INT,Yuxi,Out,2.0,Reward
260,9362346.0,DIR,Emma,In,1.0,Punish
261,9362346.0,DIR,Yuxi,Out,2.0,Punish
262,9362346.0,INT,Emma,In,1.0,Punish
263,9362346.0,STR,Emma,In,1.0,Punish
264,9362346.0,INT,Yuxi,Out,2.0,Punish
265,9362346.0,,,,,40-60
266,9362738.0,STR,Emma,In,1.0,Reward
267,9362738.0,DIR,Yuxi,Out,2.0,Reward
268,9362738.0,DIR,Emma,In,1.0,Reward
269,9362738.0,STR,Yuxi,Out,2.0,Reward
270,9362738.0,INT,Yuxi,Out,2.0,Reward
271,9362738.0,STR,Emma,In,1.0,Reward
272,9362738.0,DIR,Yuxi,Out,2.0,Punish
273,9362738.0,INT,Emma,In,1.0,Reward
274,9362738.0,STR,Yuxi,Out,2.0,Reward
275,9362738.0,INT,Emma,In,1.0,Punish
276,9362738.0,DIR,Emma,In,1.0,Punish
277,9362738.0,STR,Yuxi,Out,2.0,Punish
278,9362738.0,INT,Yuxi,Out,2.0,Punish
279,9362738.0,DIR,Emma,In,1.0,Punish
280,9362738.0,DIR,Yuxi,Out,2.0,Punish
281,9362738.0,INT,Emma,In,1.0,Reward
282,9362738.0,STR,Emma,In,1.0,Punish
283,9362738.0,INT,Yuxi,Out,2.0,Reward
284,9362738.0,,,,,40-60
285,9852803.0,STR,Emma,In,1.0,Reward
286,9852803.0,DIR,Yuxi,Out,2.0,Reward
287,9852803.0,DIR,Emma,In,1.0,Reward
288,9852803.0,STR,Yuxi,Out,2.0,Reward
289,9852803.0,INT,Yuxi,Out,2.0,Reward
290,9852803.0,STR,Emma,In,1.0,Reward
291,9852803.0,DIR,Yuxi,Out,2.0,Reward
292,9852803.0,INT,Emma,In,1.0,Reward
293,9852803.0,STR,Yuxi,Out,2.0,Reward
294,9852803.0,INT,Emma,In,1.0,Reward
295,9852803.0,DIR,Emma,In,1.0,Punish
296,9852803.0,STR,Yuxi,Out,2.0,Punish
297,9852803.0,INT,Yuxi,Out,2.0,Punish
298,9852803.0,DIR,Emma,In,1.0,Punish
299,9852803.0,DIR,Yuxi,Out,2.0,Punish
300,9852803.0,INT,Emma,In,1.0,Punish
301,9852803.0,STR,Emma,In,1.0,Punish
302,9852803.0,INT,Yuxi,Out,2.0,Punish
303,9852803.0,,,,,40-60
304,9852780.0,STR,Emma,In,1.0,Reward
305,9852780.0,DIR,Yuxi,Out,2.0,Reward
306,9852780.0,DIR,Emma,In,1.0,Reward
307,9852780.0,STR,Yuxi,Out,2.0,Punish
308,9852780.0,INT,Yuxi,Out,2.0,Reward
309,9852780.0,STR,Emma,In,1.0,Punish
310,9852780.0,DIR,Yuxi,Out,2.0,Reward
311,9852780.0,INT,Emma,In,1.0,Punish
312,9852780.0,STR,Yuxi,Out,2.0,Punish
313,9852780.0,INT,Emma,In,1.0,Reward
314,9852780.0,DIR,Emma,In,1.0,Punish
315,9852780.0,STR,Yuxi,Out,2.0,Punish
316,9852780.0,INT,Yuxi,Out,2.0,Reward
317,9852780.0,DIR,Emma,In,1.0,Punish
318,9852780.0,DIR,Yuxi,Out,2.0,Punish
319,9852780.0,INT,Emma,In,1.0,Reward
320,9852780.0,STR,Emma,In,1.0,Reward
321,9852780.0,INT,Yuxi,Out,2.0,Reward
322,9852780.0,,,,,60-40
323,9852793.0,STR,Emma,In,1.0,Punish
324,9852793.0,DIR,Yuxi,Out,2.0,Reward
325,9852793.0,DIR,Emma,In,1.0,Reward
326,9852793.0,STR,Yuxi,Out,2.0,Punish
327,9852793.0,INT,Yuxi,Out,2.0,Reward
328,9852793.0,STR,Emma,In,1.0,Punish
329,9852793.0,DIR,Yuxi,Out,2.0,Reward
330,9852793.0,INT,Emma,In,1.0,Reward
331,9852793.0,STR,Yuxi,Out,2.0,Punish
332,9852793.0,INT,Emma,In,1.0,Punish
333,9852793.0,DIR,Emma,In,1.0,Reward
334,9852793.0,STR,Yuxi,Out,2.0,Reward
335,9852793.0,INT,Yuxi,Out,2.0,Punish
336,9852793.0,DIR,Emma,In,1.0,Reward
337,9852793.0,DIR,Yuxi,Out,2.0,Punish
338,9852793.0,INT,Emma,In,1.0,Reward
339,9852793.0,STR,Emma,In,1.0,Punish
340,9852793.0,INT,Yuxi,Out,2.0,Reward
341,9852793.0,,,,,60-40
342,9852800.0,STR,Emma,In,1.0,Reward
343,9852800.0,DIR,Yuxi,Out,2.0,Reward
344,9852800.0,DIR,Emma,In,1.0,Reward
345,9852800.0,STR,Yuxi,Out,2.0,Reward
346,9852800.0,INT,Yuxi,Out,2.0,Punish
347,9852800.0,STR,Emma,In,1.0,Reward
348,9852800.0,DIR,Yuxi,Out,2.0,Punish
349,9852800.0,INT,Emma,In,1.0,Punish
350,9852800.0,STR,Yuxi,Out,2.0,Reward
351,9852800.0,INT,Emma,In,1.0,Reward
352,9852800.0,DIR,Emma,In,1.0,Reward
353,9852800.0,STR,Yuxi,Out,2.0,Punish
354,9852800.0,INT,Yuxi,Out,2.0,Punish
355,9852800.0,DIR,Emma,In,1.0,Punish
356,9852800.0,DIR,Yuxi,Out,2.0,Reward
357,9852800.0,INT,Emma,In,1.0,Punish
358,9852800.0,STR,Emma,In,1.0,Punish
359,9852800.0,INT,Yuxi,Out,2.0,Reward
360,9852800.0,,,,,60-40
361,9852799.0,STR,Emma,In,1.0,Reward
362,9852799.0,DIR,Yuxi,Out,2.0,Reward
363,9852799.0,DIR,Emma,In,1.0,Reward
364,9852799.0,STR,Yuxi,Out,2.0,Punish
365,9852799.0,INT,Yuxi,Out,2.0,Reward
366,9852799.0,STR,Emma,In,1.0,Punish
367,9852799.0,DIR,Yuxi,Out,2.0,Punish
368,9852799.0,INT,Emma,In,1.0,Reward
369,9852799.0,STR,Yuxi,Out,2.0,Reward
370,9852799.0,INT,Emma,In,1.0,Punish
371,9852799.0,DIR,Emma,In,1.0,Punish
372,9852799.0,STR,Yuxi,Out,2.0,Reward
373,9852799.0,INT,Yuxi,Out,2.0,Punish
374,9852799.0,DIR,Emma,In,1.0,Reward
375,9852799.0,DIR,Yuxi,Out,2.0,Reward
376,9852799.0,INT,Emma,In,1.0,Punish
377,9852799.0,STR,Emma,In,1.0,Reward
378,9852799.0,INT,Yuxi,Out,2.0,Punish
379,9852799.0,,,,,60-40
