Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
9,1.67528E+12,1/2/2023 20:36,1.67528E+12,-5,1/2/2023 15:36,110083,9,questionnaire-d2kp,,26862498,BLIND,7979612,,complete,icovxq,3K4J6M3CXK4E2ZAT27QR0GD4MWXGAU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x663,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS8-RS,4
10,1.67528E+12,1/2/2023 20:36,1.67528E+12,-5,1/2/2023 15:36,110083,9,questionnaire-d2kp,,26862498,BLIND,7979612,,complete,icovxq,3K4J6M3CXK4E2ZAT27QR0GD4MWXGAU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x663,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,END QUESTIONNAIRE,34028
1,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,BEGIN QUESTIONNAIRE,
2,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS1-RS,6
3,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS2,5
4,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS3,7
5,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS4-RS,6
6,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS5,3
7,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS6,6
8,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS7,3
9,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS8-RS,7
10,1.67528E+12,1/2/2023 20:36,1.67528E+12,1,1/2/2023 21:36,110083,9,questionnaire-d2kp,,26862500,BLIND,7979596,,complete,gxyjid,37XITHEIS2KTK4G52WGU5FHZO8SCRN,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 108.0.0.0,1366x768,1366x649,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,END QUESTIONNAIRE,16403
1,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,BEGIN QUESTIONNAIRE,
2,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1349x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS1-RS,6
3,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1349x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS2,5
4,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1349x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS3,6
5,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1349x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS4-RS,6
6,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1349x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS5,5
7,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1349x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS6,7
8,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1349x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS7,5
9,1.67528E+12,1/2/2023 20:39,1.67528E+12,-6,1/2/2023 14:39,110083,9,questionnaire-d2kp,,26862607,BLIND,7979611,,complete,wxbjmt,3Z7VU45IP4SIZSSYWGLNAM07TSL1ZG,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1349x657,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS8-RS,5
