Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
3,1674074109451,18/01/2023 20:35:09,1674074108805,-6,18/01/2023 14:35:08,110083,9,questionnaire-faea,,26470302,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x929,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,6
4,1674074109451,18/01/2023 20:35:09,1674074108805,-6,18/01/2023 14:35:08,110083,9,questionnaire-faea,,26470302,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x929,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,5
5,1674074109451,18/01/2023 20:35:09,1674074108805,-6,18/01/2023 14:35:08,110083,9,questionnaire-faea,,26470302,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x929,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,12278
1,1674074215195,18/01/2023 20:36:55,1674074215045,-8,18/01/2023 12:36:55,110083,9,questionnaire-faea,,26470389,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1680x939,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074228994,18/01/2023 20:37:08,1674074228634,-8,18/01/2023 12:37:08,110083,9,questionnaire-faea,,26470389,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1680x939,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,1
3,1674074229181,18/01/2023 20:37:09,1674074228636,-8,18/01/2023 12:37:08,110083,9,questionnaire-faea,,26470389,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1680x939,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,1
4,1674074229181,18/01/2023 20:37:09,1674074228636,-8,18/01/2023 12:37:08,110083,9,questionnaire-faea,,26470389,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1680x939,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,1
5,1674074229181,18/01/2023 20:37:09,1674074228636,-8,18/01/2023 12:37:08,110083,9,questionnaire-faea,,26470389,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1680x939,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,13591
1,1674074222826,18/01/2023 20:37:02,1674074222476,-6,18/01/2023 14:37:02,110083,9,questionnaire-faea,,26470392,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1366x654,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074236430,18/01/2023 20:37:16,1674074236117,-6,18/01/2023 14:37:16,110083,9,questionnaire-faea,,26470392,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,2
3,1674074236721,18/01/2023 20:37:16,1674074236119,-6,18/01/2023 14:37:16,110083,9,questionnaire-faea,,26470392,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,2
4,1674074236721,18/01/2023 20:37:16,1674074236119,-6,18/01/2023 14:37:16,110083,9,questionnaire-faea,,26470392,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,2
5,1674074236721,18/01/2023 20:37:16,1674074236119,-6,18/01/2023 14:37:16,110083,9,questionnaire-faea,,26470392,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,13643
1,1674074230343,18/01/2023 20:37:10,1674074230864,-5,18/01/2023 15:37:10,110083,9,questionnaire-faea,,26470401,BLIND,7814301,,complete,giqzdt,3NGMS9VZTRT3KQV62361WWOJFKBFFF,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1601x789,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074265140,18/01/2023 20:37:45,1674074265689,-5,18/01/2023 15:37:45,110083,9,questionnaire-faea,,26470401,BLIND,7814301,,complete,giqzdt,3NGMS9VZTRT3KQV62361WWOJFKBFFF,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1584x789,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,3
3,1674074265271,18/01/2023 20:37:45,1674074265691,-5,18/01/2023 15:37:45,110083,9,questionnaire-faea,,26470401,BLIND,7814301,,complete,giqzdt,3NGMS9VZTRT3KQV62361WWOJFKBFFF,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1584x789,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,1
4,1674074265271,18/01/2023 20:37:45,1674074265691,-5,18/01/2023 15:37:45,110083,9,questionnaire-faea,,26470401,BLIND,7814301,,complete,giqzdt,3NGMS9VZTRT3KQV62361WWOJFKBFFF,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1584x789,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,1
