Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
5,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_healthcare,5
6,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_community,3
7,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_spider,3
8,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_firefighter,6
9,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_police,5
10,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_kitten,3
11,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_gun,5
12,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_immigration,3
13,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_blanket,6
14,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_media,6
15,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_knife,2
16,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_voting,6
17,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,OpenEnded,No idea.
18,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,END QUESTIONNAIRE,30213
1,1.67407E+12,18/01/2023 20:35:08,1.67407E+12,-5,18/01/2023 15:35:08,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1.67407E+12,18/01/2023 20:35:35,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_religion,6
3,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_science,7
4,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_puppy,6
5,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_healthcare,6
6,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_community,6
7,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_spider,6
8,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_firefighter,6
9,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_police,7
10,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_kitten,6
11,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_gun,6
12,1.67407E+12,18/01/2023 20:35:36,1.67407E+12,-5,18/01/2023 15:35:35,110083,9,questionnaire-olq6,,26470311,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_immigration,6
