Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
5,1674074095539,18/01/2023 20:34:55,1674074095326,-5,18/01/2023 15:34:55,110083,9,questionnaire-dmpk,,26470300,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS4,4
6,1674074095539,18/01/2023 20:34:55,1674074095326,-5,18/01/2023 15:34:55,110083,9,questionnaire-dmpk,,26470300,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,END QUESTIONNAIRE,5279
1,1674074111274,18/01/2023 20:35:11,1674074110751,-6,18/01/2023 14:35:10,110083,9,questionnaire-dmpk,,26470318,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074119443,18/01/2023 20:35:19,1674074118899,-6,18/01/2023 14:35:18,110083,9,questionnaire-dmpk,,26470318,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1903x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS1,2
3,1674074119619,18/01/2023 20:35:19,1674074118901,-6,18/01/2023 14:35:18,110083,9,questionnaire-dmpk,,26470318,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1903x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS2,2
4,1674074119619,18/01/2023 20:35:19,1674074118901,-6,18/01/2023 14:35:18,110083,9,questionnaire-dmpk,,26470318,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1903x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS3,2
5,1674074119619,18/01/2023 20:35:19,1674074118901,-6,18/01/2023 14:35:18,110083,9,questionnaire-dmpk,,26470318,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1903x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS4,4
6,1674074119619,18/01/2023 20:35:19,1674074118901,-6,18/01/2023 14:35:18,110083,9,questionnaire-dmpk,,26470318,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1903x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,END QUESTIONNAIRE,8150
1,1674074231112,18/01/2023 20:37:11,1674074231006,-8,18/01/2023 12:37:11,110083,9,questionnaire-dmpk,,26470402,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1680x939,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074241527,18/01/2023 20:37:21,1674074241170,-8,18/01/2023 12:37:21,110083,9,questionnaire-dmpk,,26470402,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1663x939,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS1,4
3,1674074241717,18/01/2023 20:37:21,1674074241172,-8,18/01/2023 12:37:21,110083,9,questionnaire-dmpk,,26470402,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1663x939,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS2,4
4,1674074241717,18/01/2023 20:37:21,1674074241172,-8,18/01/2023 12:37:21,110083,9,questionnaire-dmpk,,26470402,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1663x939,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS3,2
5,1674074241717,18/01/2023 20:37:21,1674074241172,-8,18/01/2023 12:37:21,110083,9,questionnaire-dmpk,,26470402,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1663x939,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS4,3
6,1674074241717,18/01/2023 20:37:21,1674074241172,-8,18/01/2023 12:37:21,110083,9,questionnaire-dmpk,,26470402,BLIND,7814315,,complete,qhmimn,3EA3QWIZ4O6XDMFXYVHBGXGCMLCITI,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1680x1050,1663x939,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,END QUESTIONNAIRE,10166
1,1674074239651,18/01/2023 20:37:19,1674074239316,-6,18/01/2023 14:37:19,110083,9,questionnaire-dmpk,,26470411,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1366x654,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074255195,18/01/2023 20:37:35,1674074254826,-6,18/01/2023 14:37:34,110083,9,questionnaire-dmpk,,26470411,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS1,5
3,1674074255387,18/01/2023 20:37:35,1674074254827,-6,18/01/2023 14:37:34,110083,9,questionnaire-dmpk,,26470411,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS2,5
4,1674074255387,18/01/2023 20:37:35,1674074254827,-6,18/01/2023 14:37:34,110083,9,questionnaire-dmpk,,26470411,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS3,4
5,1674074255387,18/01/2023 20:37:35,1674074254828,-6,18/01/2023 14:37:34,110083,9,questionnaire-dmpk,,26470411,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS4,4
6,1674074255387,18/01/2023 20:37:35,1674074254828,-6,18/01/2023 14:37:34,110083,9,questionnaire-dmpk,,26470411,BLIND,7814318,,complete,vbkcff,3SBEHTYCWTETU8ER814AOE8R1NUIY7,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1366x768,1349x654,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,END QUESTIONNAIRE,15512
1,1674074266678,18/01/2023 20:37:46,1674074267169,-5,18/01/2023 15:37:47,110083,9,questionnaire-dmpk,,26470437,BLIND,7814301,,complete,giqzdt,3NGMS9VZTRT3KQV62361WWOJFKBFFF,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1601x789,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074275943,18/01/2023 20:37:55,1674074276474,-5,18/01/2023 15:37:56,110083,9,questionnaire-dmpk,,26470437,BLIND,7814301,,complete,giqzdt,3NGMS9VZTRT3KQV62361WWOJFKBFFF,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1584x789,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS1,1
